time,open,high,low,close,volume
2025-01-01T00:00:00Z,60000.0000,60193.9510,59970.3375,60186.4357,110.4409
2025-01-01T01:00:00Z,60186.4357,60423.6228,60102.6046,60401.0673,147.0836
2025-01-01T02:00:00Z,60401.0673,60527.7513,60373.1572,60493.3272,149.8661
2025-01-01T03:00:00Z,60493.3272,60503.6605,60305.0400,60409.1849,127.8422
2025-01-01T04:00:00Z,60409.1849,60469.2262,60348.6781,60392.2335,136.2314
2025-01-01T05:00:00Z,60392.2335,60513.7817,60151.4799,60167.0531,124.0283
2025-01-01T06:00:00Z,60167.0531,60236.6956,60136.4541,60235.7154,109.8002
2025-01-01T07:00:00Z,60235.7154,60346.9388,60139.1833,60185.7596,137.0306
2025-01-01T08:00:00Z,60185.7596,60287.2991,60159.2426,60275.7457,134.3277
2025-01-01T09:00:00Z,60275.7457,60381.2141,60218.0276,60347.3412,136.7800
2025-01-01T10:00:00Z,60347.3412,60436.8703,60270.2186,60320.0169,123.1687
2025-01-01T11:00:00Z,60320.0169,60368.9380,60047.1931,60078.8020,130.4959
2025-01-01T12:00:00Z,60078.8020,60105.4288,59991.0762,60034.9976,129.4772
2025-01-01T13:00:00Z,60034.9976,60219.7375,59989.2524,60156.5792,101.0728
2025-01-01T14:00:00Z,60156.5792,60245.5521,60130.9485,60146.7342,107.9865
2025-01-01T15:00:00Z,60146.7342,60234.6633,60087.5549,60231.0219,120.1498
2025-01-01T16:00:00Z,60231.0219,60388.4968,60197.8175,60356.5649,147.5134
2025-01-01T17:00:00Z,60356.5649,60456.7776,60222.0426,60309.0707,147.5518
2025-01-01T18:00:00Z,60309.0707,60559.4111,60275.0935,60534.4062,115.3082
2025-01-01T19:00:00Z,60534.4062,60758.1987,60490.7783,60712.1105,114.7480
2025-01-01T20:00:00Z,60712.1105,60794.9698,60597.6747,60757.7919,127.1167
2025-01-01T21:00:00Z,60757.7919,60776.2618,60601.7529,60625.4004,109.4585
2025-01-01T22:00:00Z,60625.4004,60637.7482,60465.0128,60485.5868,116.8775
2025-01-01T23:00:00Z,60485.5868,60665.5189,60465.0297,60604.0972,103.8343
2025-01-02T00:00:00Z,60604.0972,60699.4371,60527.8616,60649.5062,127.1985
2025-01-02T01:00:00Z,60649.5062,60873.1640,60577.3466,60822.9767,116.4066
2025-01-02T02:00:00Z,60822.9767,60857.6430,60674.2834,60709.1476,131.5624
2025-01-02T03:00:00Z,60709.1476,60885.1647,60705.8129,60761.7570,116.9166
